Date,Clics,Impressions,CTR,Position
2025-10-05,0,0,,
2025-10-06,0,0,,
2025-10-07,0,0,,
2025-10-08,2,13,15.38%,3.1
2025-10-09,0,0,,
2025-10-10,0,1,0%,2
2025-10-11,0,0,,
2025-10-12,0,0,,
2025-10-13,0,0,,
2025-10-14,0,0,,
2025-10-15,1,1,100%,4
2025-10-16,0,1,0%,3
2025-10-17,0,2,0%,2
2025-10-18,0,0,,
2025-10-19,0,0,,
2025-10-20,0,0,,
2025-10-21,1,4,25%,3.5
2025-10-22,0,0,,
2025-10-23,0,0,,
2025-10-24,0,0,,
2025-10-25,0,0,,
2025-10-26,0,0,,
2025-10-27,0,0,,
2025-10-28,0,2,0%,4
2025-10-29,0,0,,
2025-10-30,0,0,,
2025-10-31,0,0,,
2025-11-01,0,0,,
2025-11-02,0,0,,
2025-11-03,0,5,0%,4
2025-11-04,0,11,0%,3.6
2025-11-05,0,2,0%,4.5
2025-11-06,0,1,0%,3
2025-11-07,0,0,,
2025-11-08,0,0,,
2025-11-09,0,1,0%,2
2025-11-10,0,0,,
2025-11-11,0,0,,
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,0,,
2025-11-15,0,0,,
2025-11-16,1,1,100%,5
2025-11-17,0,0,,
2025-11-18,0,0,,
2025-11-19,0,1,0%,2
2025-11-20,1,1,100%,3
2025-11-21,0,0,,
2025-11-22,0,0,,
2025-11-23,0,0,,
2025-11-24,1,1,100%,4
2025-11-25,0,0,,
2025-11-26,0,0,,
2025-11-27,1,1,100%,3
2025-11-28,0,0,,
2025-11-29,0,3,0%,3
2025-11-30,0,0,,
2025-12-01,0,6,0%,2.3
2025-12-02,0,105,0%,2.5
2025-12-03,0,7,0%,3
2025-12-04,0,0,,
2025-12-05,1,16,6.25%,2.9
2025-12-06,0,2,0%,3
2025-12-07,0,0,,
2025-12-08,0,4,0%,3
2025-12-09,0,2,0%,3
2025-12-10,0,7,0%,3.3
2025-12-11,0,2,0%,2.5
2025-12-12,0,1,0%,4
2025-12-13,0,1,0%,6
2025-12-14,0,0,,
2025-12-15,0,2,0%,4
2025-12-16,0,0,,
2025-12-17,0,0,,
2025-12-18,0,2,0%,6
2025-12-19,0,0,,
2025-12-20,0,1,0%,3
2025-12-21,0,0,,
2025-12-22,0,0,,
2025-12-23,0,0,,
2025-12-24,0,0,,
2025-12-25,0,0,,
2025-12-26,0,0,,
2025-12-27,0,1,0%,3
2025-12-28,0,0,,
2025-12-29,0,1,0%,3
2025-12-30,0,0,,
2025-12-31,0,0,,
2026-01-01,0,0,,
2026-01-02,0,0,,
2026-01-03,0,0,,
2026-01-04,0,0,,
2026-01-05,1,1,100%,1
2026-01-06,0,2,0%,1
2026-01-07,0,0,,
2026-01-08,0,2,0%,1
2026-01-09,0,0,,
2026-01-10,0,4,0%,1
2026-01-11,0,2,0%,2.5
2026-01-12,0,0,,
2026-01-13,0,0,,
2026-01-14,0,0,,
2026-01-15,0,2,0%,3
2026-01-16,0,0,,
2026-01-17,0,0,,
2026-01-18,0,1,0%,5
2026-01-19,0,0,,
2026-01-20,0,0,,
2026-01-21,0,1,0%,5
2026-01-22,0,0,,
2026-01-23,0,0,,
2026-01-24,0,0,,
2026-01-25,0,2,0%,6
2026-01-26,0,0,,
2026-01-27,0,0,,
2026-01-28,0,0,,
2026-01-29,0,0,,
2026-01-30,0,0,,
2026-01-31,0,0,,
2026-02-01,0,2,0%,5.5
2026-02-02,1,6,16.67%,6.5
2026-02-03,0,5,0%,5.4
